"May 9, 2024 at 07:12PM",Special,SZA,6RQ5IwG7uADz9LDWliJGjU,https://open.spotify.com/track/6RQ5IwG7uADz9LDWliJGjU
"May 10, 2024 at 12:06AM",Covet - alt version,Basement,73NKI74L085oOkIxyY9sJ1,https://open.spotify.com/track/73NKI74L085oOkIxyY9sJ1
"May 10, 2024 at 09:59AM",Grow,Shed Theory,7Mq1IBDmEJzg4xEdOljzMT,https://open.spotify.com/track/7Mq1IBDmEJzg4xEdOljzMT
"May 10, 2024 at 10:05AM",Iceheart,Yung Lean,05i9cnJCtgfGoGIAp6NnzY,https://open.spotify.com/track/05i9cnJCtgfGoGIAp6NnzY
"May 10, 2024 at 10:12AM",Keepe Out,Buckshot,3HijtUnWDjWZLkUj590oWM,https://open.spotify.com/track/3HijtUnWDjWZLkUj590oWM
"May 10, 2024 at 10:15AM",Keepe Out,Buckshot,3HijtUnWDjWZLkUj590oWM,https://open.spotify.com/track/3HijtUnWDjWZLkUj590oWM
"May 10, 2024 at 10:17AM",Nite Walker,Sickboyrari,5L0UzaetCSpHAN9IlrJGv8,https://open.spotify.com/track/5L0UzaetCSpHAN9IlrJGv8
"May 10, 2024 at 10:17AM",Nite Walker,Sickboyrari,5L0UzaetCSpHAN9IlrJGv8,https://open.spotify.com/track/5L0UzaetCSpHAN9IlrJGv8
"May 10, 2024 at 10:16AM",Genesis,BONES,34LzJ0pKASl3mmMprZPZuS,https://open.spotify.com/track/34LzJ0pKASl3mmMprZPZuS
"May 10, 2024 at 10:19AM",Heaven,nascar aloe,6GZ9nFZSwLs8eNNQHIZzob,https://open.spotify.com/track/6GZ9nFZSwLs8eNNQHIZzob
"May 10, 2024 at 10:22AM",Suicide Note,nascar aloe,3eiXcYabvLhMET3ByGxM5f,https://open.spotify.com/track/3eiXcYabvLhMET3ByGxM5f
"May 10, 2024 at 10:24AM",Very Ape,Nirvana,0hUit24g1EIoATdKYWUiRj,https://open.spotify.com/track/0hUit24g1EIoATdKYWUiRj
"May 10, 2024 at 10:29AM",Deadbeat Valentine,"nothing,nowhere.",5C9kjqiuiAVwureItdxbKB,https://open.spotify.com/track/5C9kjqiuiAVwureItdxbKB
"May 10, 2024 at 10:31AM",biggest inspiration,kawaiite,4sEEOW1qMxMgvZV5E994HY,https://open.spotify.com/track/4sEEOW1qMxMgvZV5E994HY
"May 10, 2024 at 10:33AM",YUKON (INTERLUDE),Joji,6c1yUgFlhUHLAM9hSDkVBq,https://open.spotify.com/track/6c1yUgFlhUHLAM9hSDkVBq
"May 10, 2024 at 10:35AM",All They Wanted,Panchiko,28Ymf40EoJ6776juQZNPoY,https://open.spotify.com/track/28Ymf40EoJ6776juQZNPoY
"May 10, 2024 at 10:41AM",Stargirl,Yameii Online,02hfam0ca3PMHbzFhGfFVZ,https://open.spotify.com/track/02hfam0ca3PMHbzFhGfFVZ
"May 10, 2024 at 10:43AM",Pur,Yameii Online,2MyJQR9sus9pCazy30Q9Oa,https://open.spotify.com/track/2MyJQR9sus9pCazy30Q9Oa
"May 10, 2024 at 10:44AM",Feiticeira - Clams Casino Remix,Deftones,6hZoRYEASxXpSXuv7luqwB,https://open.spotify.com/track/6hZoRYEASxXpSXuv7luqwB
"May 10, 2024 at 12:45AM",Hey World!,King Krule,14JMeamQwgU0HSYgj77JgF,https://open.spotify.com/track/14JMeamQwgU0HSYgj77JgF
"May 10, 2024 at 08:03PM",Hey World!,King Krule,14JMeamQwgU0HSYgj77JgF,https://open.spotify.com/track/14JMeamQwgU0HSYgj77JgF
"May 10, 2024 at 09:10PM",california world,Lil Peep,6Cv79Kb9o559sLe1a0H3ZG,https://open.spotify.com/track/6Cv79Kb9o559sLe1a0H3ZG
"May 10, 2024 at 09:13PM",Iceheart,Yung Lean,05i9cnJCtgfGoGIAp6NnzY,https://open.spotify.com/track/05i9cnJCtgfGoGIAp6NnzY
"May 10, 2024 at 09:15PM",Keepe Out,Buckshot,3HijtUnWDjWZLkUj590oWM,https://open.spotify.com/track/3HijtUnWDjWZLkUj590oWM
"May 10, 2024 at 09:17PM",Genesis,BONES,34LzJ0pKASl3mmMprZPZuS,https://open.spotify.com/track/34LzJ0pKASl3mmMprZPZuS
"May 10, 2024 at 09:22PM",Jesus (feat. Lil Gnar),Chief Keef,5mE1sporLTCltsZVRp27cA,https://open.spotify.com/track/5mE1sporLTCltsZVRp27cA
"May 10, 2024 at 09:24PM",Jesus Skit,Chief Keef,3JhrdnKtCif4dAHVoJlWvI,https://open.spotify.com/track/3JhrdnKtCif4dAHVoJlWvI
"May 10, 2024 at 09:30PM",Prince Charming,Chief Keef,3IFN4mWzb0XyHL8aIPbrRJ,https://open.spotify.com/track/3IFN4mWzb0XyHL8aIPbrRJ
"May 10, 2024 at 09:33PM",Almighty (Intro),Chief Keef,6YvvTg8WaWMdCaBBBwd8e5,https://open.spotify.com/track/6YvvTg8WaWMdCaBBBwd8e5
"May 10, 2024 at 10:25PM",Banded Up (feat. Tierra Whack),Chief Keef,7tmgmrJYAGshsUHUNWPMlO,https://open.spotify.com/track/7tmgmrJYAGshsUHUNWPMlO
"May 10, 2024 at 10:30PM",Grape Trees (feat. Sexyy Red),Chief Keef,7tE46absMtSeWvESGkNXDl,https://open.spotify.com/track/7tE46absMtSeWvESGkNXDl
"May 10, 2024 at 10:33PM",Neph Nem (feat. Ballout & G Herbo),Chief Keef,0IzqRBC2zj2ejfg5EvZ3o9,https://open.spotify.com/track/0IzqRBC2zj2ejfg5EvZ3o9
"May 10, 2024 at 10:36PM",Runner,Chief Keef,47mijfmaoGHOIDYaHjsSjd,https://open.spotify.com/track/47mijfmaoGHOIDYaHjsSjd
"May 10, 2024 at 10:38PM",Tony Montana Flow,Chief Keef,5FArNjfGgECpqKyWeY7UNW,https://open.spotify.com/track/5FArNjfGgECpqKyWeY7UNW
"May 10, 2024 at 10:43PM",Treat Myself,Chief Keef,4mSwG5sSZCWgsEvaHhqCen,https://open.spotify.com/track/4mSwG5sSZCWgsEvaHhqCen
"May 10, 2024 at 10:48PM","1,2,3",Chief Keef,3BjJGSCE3bRU0Z7tZhLfkQ,https://open.spotify.com/track/3BjJGSCE3bRU0Z7tZhLfkQ
"May 10, 2024 at 08:08PM",california world,Lil Peep,6Cv79Kb9o559sLe1a0H3ZG,https://open.spotify.com/track/6Cv79Kb9o559sLe1a0H3ZG
"May 10, 2024 at 11:58PM",Newer Me,LUCKI,5RnT0WKKGAt6eOmd7SQRJ6,https://open.spotify.com/track/5RnT0WKKGAt6eOmd7SQRJ6
"May 11, 2024 at 12:22AM",TL;DR,Bladee,60xS8hPFTPwjZwZ5b2091p,https://open.spotify.com/track/60xS8hPFTPwjZwZ5b2091p
"May 12, 2024 at 12:50AM",I Don't Like,Chief Keef,1h6kgem1ai8vUgO1rZOwfB,https://open.spotify.com/track/1h6kgem1ai8vUgO1rZOwfB
"May 12, 2024 at 03:11AM",Late,Kanye West,1mFHMzbaECWFaPfoePoEYl,https://open.spotify.com/track/1mFHMzbaECWFaPfoePoEYl
"May 12, 2024 at 03:13AM","Love, of Money",MAVI,6qUkNMd34rjpDP5EUy9JNS,https://open.spotify.com/track/6qUkNMd34rjpDP5EUy9JNS
"May 12, 2024 at 03:16AM",MANIKIN (feat. Wifisfuneral),XXXTENTACION,4DmPzOQ7WH9VfzWxX3J0GE,https://open.spotify.com/track/4DmPzOQ7WH9VfzWxX3J0GE
"May 12, 2024 at 03:19AM",MANIKIN (feat. Wifisfuneral),XXXTENTACION,4DmPzOQ7WH9VfzWxX3J0GE,https://open.spotify.com/track/4DmPzOQ7WH9VfzWxX3J0GE
"May 12, 2024 at 03:22AM",I LUv My CLiQuE LiKe KaNyE WeSt,XXXTENTACION,5jj6hYviQgGnN3uoJw3Oej,https://open.spotify.com/track/5jj6hYviQgGnN3uoJw3Oej
"May 12, 2024 at 03:24AM",Snow (feat. Killstation),XXXTENTACION,1TAEtwlUr2yawioB2T9neG,https://open.spotify.com/track/1TAEtwlUr2yawioB2T9neG
"May 12, 2024 at 03:28AM",Snow (feat. Killstation),XXXTENTACION,1TAEtwlUr2yawioB2T9neG,https://open.spotify.com/track/1TAEtwlUr2yawioB2T9neG
"May 12, 2024 at 03:31AM",Out My Way,LUCKI,7gdhZ5u9T1tmvd3zud1yQZ,https://open.spotify.com/track/7gdhZ5u9T1tmvd3zud1yQZ
"May 12, 2024 at 03:37AM",meet the grahams,Kendrick Lamar,4S8PxReB1UiDR2F5x1lyIR,https://open.spotify.com/track/4S8PxReB1UiDR2F5x1lyIR
"May 13, 2024 at 01:44PM",HAZARD DUTY PAY!,JPEGMAFIA,5dLz8bhINeCWgppiUIcafp,https://open.spotify.com/track/5dLz8bhINeCWgppiUIcafp
"May 13, 2024 at 01:47PM",Die Trying,Key Glock,4qNYl4NkngYRqf6DtTyD9I,https://open.spotify.com/track/4qNYl4NkngYRqf6DtTyD9I
"May 13, 2024 at 07:42PM",Loud Bark,Mannequin Pussy,4iaSz388a4iRMNRJZSClVG,https://open.spotify.com/track/4iaSz388a4iRMNRJZSClVG
"May 13, 2024 at 09:29PM",EARFQUAKE,"Tyler, The Creator",5hVghJ4KaYES3BFUATCYn0,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
"May 14, 2024 at 04:50PM",Hollywood Dreaming,Lil Peep,6XfwGXSf180uhTlUn7cczH,https://open.spotify.com/track/6XfwGXSf180uhTlUn7cczH
"May 14, 2024 at 04:51PM",Zippo,BONES,0CZduciJU1RTSjYTLlPmeK,https://open.spotify.com/track/0CZduciJU1RTSjYTLlPmeK
"May 14, 2024 at 04:48PM",Team Edward,ITSOKTOCRY,7f3RNNyaZpIpvx1LijmEq1,https://open.spotify.com/track/7f3RNNyaZpIpvx1LijmEq1
"May 14, 2024 at 04:54PM",Poison Ivy,Xavier Wulf,3QDfsYLuWNAmZ62QoCGoqH,https://open.spotify.com/track/3QDfsYLuWNAmZ62QoCGoqH
"May 14, 2024 at 05:01PM","Are You Going to See the Rose in the Vase, or the Dust on the Table",$uicideboy$,78RdTKcI2CediltTnGLIqr,https://open.spotify.com/track/78RdTKcI2CediltTnGLIqr
"May 14, 2024 at 05:05PM",Just the Tip,Sybyr,7eZRHTc0f8d1nSrQsa6aeg,https://open.spotify.com/track/7eZRHTc0f8d1nSrQsa6aeg
"May 14, 2024 at 05:08PM",Just the Tip,Sybyr,7eZRHTc0f8d1nSrQsa6aeg,https://open.spotify.com/track/7eZRHTc0f8d1nSrQsa6aeg
"May 14, 2024 at 05:10PM",ARSON RADIO,ITSOKTOCRY,5dQ8xQ8kAXduhUVn0GPx5w,https://open.spotify.com/track/5dQ8xQ8kAXduhUVn0GPx5w
"May 14, 2024 at 05:12PM",Darker Than Lit,Sybyr,4BTMXyGcFhAcERulxXQiwe,https://open.spotify.com/track/4BTMXyGcFhAcERulxXQiwe
"May 14, 2024 at 05:14PM",SKIDROW,nascar aloe,0vzq53xXHjUQmma4QD5Azy,https://open.spotify.com/track/0vzq53xXHjUQmma4QD5Azy
